name,cost,position,points,ppd,roi
Tyler Tucker,1000000,D,2,500000,0.000002000
Logan Stanley,1000000,D,2,500000,0.000002000
Vasily Podkolzin,1000000,F,2,500000,0.000002000
Matt Rempe,1000000,F,2,500000,0.000002000
Adam Edstrom,1000000,F,2,500000,0.000002000
Kirby Dach,1530000,C,2,765000,0.000001307
Nick Blankenburg,1000000,D,1,1000000,0.000001000
Cutter Gauthier,1000000,F,65,15385,0.000065000
Samuel Fagemo,1000000,F,1,1000000,0.000001000
Logan Couture,1100000,C,1,1100000,0.000000909
Nolan Foote,1220000,F,1,1220000,0.000000820
