name,cost,position,points,ppd,roi,actual
Dylan Sikura,1000000,F,14,71428.57,0.000014000,LW
Daniel Sprong,1000000,F,14,71428.57,0.000014000,RW
Joonas Donskoi,1860000,F,26,71538.46,0.000013978,RW
Phillip Danault,2720000,C,38,71578.95,0.000013971,C
Vladislav Gavrikov,1290000,D,18,71666.67,0.000013953,LD
Matt Nieto,1290000,F,18,71666.67,0.000013953,RW
Max Jones,1220000,F,17,71764.71,0.000013934,LW
Alex DeBrincat,3230000,F,45,71777.78,0.000013932,LW
Kris Letang,2660000,D,37,71891.89,0.000013910,RD
Mikko Rantanen,3600000,F,50,72000.00,0.000013889,RW
Brett Connolly,2090000,F,29,72068.97,0.000013876,RW
Ryan Nugent-Hopkins,3400000,F,47,72340.43,0.000013824,C/LW
Tyler Myers,1810000,D,25,72400.00,0.000013812,RD
Andrew Mangiapane,2100000,F,29,72413.79,0.000013810,LW
Jordan Martinook,1160000,F,16,72500.00,0.000013793,LW
Ryan Suter,2540000,D,35,72571.43,0.000013780,LD
Drew Doughty,2250000,D,31,72580.65,0.000013778,RD
Rasmus Andersson,1380000,D,19,72631.58,0.000013768,RD
Colton Sissons,1310000,C,18,72777.78,0.000013740,C
Artem Anisimov,1310000,C,18,72777.78,0.000013740,C
Mike Reilly,1020000,D,14,72857.14,0.000013725,LD
Mika Zibanejad,4300000,C,59,72881.36,0.000013721,C
Nick Leddy,1170000,D,16,73125.00,0.000013675,LD
Pierre-Luc Dubois,3220000,C,44,73181.82,0.000013665,C
Nathan MacKinnon,5220000,C,71,73521.13,0.000013602,C
Esa Lindell,1620000,D,22,73636.36,0.000013580,LD
Brett Howden,1400000,C,19,73684.21,0.000013571,C
Troy Stecher,1180000,D,16,73750.00,0.000013559,RD
Kevin Shattenkirk,1550000,D,21,73809.52,0.000013548,RD
David Krejci,2810000,C,38,73947.37,0.000013523,C
Kyle Connor,4290000,F,58,73965.52,0.000013520,LW
Andrei Svechnikov,4070000,F,55,74000.00,0.000013514,RW
Jakob Chychrun,2000000,D,27,74074.07,0.000013500,LD
Joel Eriksson Ek,2000000,C,27,74074.07,0.000013500,C
James van Riemsdyk,2520000,F,34,74117.65,0.000013492,LW
Jeff Petry,2300000,D,31,74193.55,0.000013478,RD
Brock Nelson,3340000,C,45,74222.22,0.000013473,C
Travis Dermott,1040000,D,14,74285.71,0.000013462,LD
Tucker Poolman,1040000,D,14,74285.71,0.000013462,RD
Jason Spezza,1190000,C,16,74375.00,0.000013445,C
Valeri Nichushkin,1940000,F,26,74615.38,0.000013402,LW/RW
Steven Stamkos,4330000,F,58,74655.17,0.000013395,C/RW
Blake Lizotte,1350000,C,18,75000.00,0.000013333,C
Michael Amadio,1200000,C,16,75000.00,0.000013333,C
Marc-Edouard Vlasic,1130000,D,15,75333.33,0.000013274,LD
Warren Foegele,1960000,F,26,75384.62,0.000013265,LW
Sidney Crosby,4530000,C,60,75500.00,0.000013245,C
Roope Hintz,2190000,F,29,75517.24,0.000013242,C/LW
Pat Maroon,1360000,F,18,75555.56,0.000013235,LW
Austin Watson,1370000,F,18,76111.11,0.000013139,RW
Tomas Tatar,3430000,F,45,76222.22,0.000013120,LW
MacKenzie Weegar,1220000,D,16,76250.00,0.000013115,RD
Taylor Hall,3890000,F,51,76274.51,0.000013111,LW
Blake Wheeler,4050000,F,53,76415.09,0.000013086,RW
Jared McCann,2370000,C,31,76451.61,0.000013080,C
Matt Calvert,1530000,F,20,76500.00,0.000013072,LW
Brock McGinn,1380000,F,18,76666.67,0.000013043,RW
Haydn Fleury,1000000,D,13,76923.08,0.000013000,LD
Brent Seabrook,1000000,D,13,76923.08,0.000013000,RD
Danny DeKeyser,1000000,D,13,76923.08,0.000013000,LD
Markus Nutivaara,1000000,D,13,76923.08,0.000013000,LD
Victor Mete,1000000,D,13,76923.08,0.000013000,LD
Noah Dobson,1000000,D,13,76923.08,0.000013000,RD
Christian Wolanin,1000000,D,13,76923.08,0.000013000,LD
Owen Tippett,1000000,F,13,76923.08,0.000013000,RW
Micheal Ferland,1000000,F,13,76923.08,0.000013000,LW
Jacob Trouba,2080000,D,27,77037.04,0.000012981,RD
Mark Pysyk,1080000,D,14,77142.86,0.000012963,RD
Ryan Lindgren,1080000,D,14,77142.86,0.000012963,LD
Darnell Nurse,2320000,D,30,77333.33,0.000012931,LD
Teddy Blueger,1470000,C,19,77368.42,0.000012925,C
Mathieu Perreault,1240000,F,16,77500.00,0.000012903,LW
Denis Gurianov,2330000,F,30,77666.67,0.000012876,RW
Jake Muzzin,1710000,D,22,77727.27,0.000012865,LD
P.K. Subban,1790000,D,23,77826.09,0.000012849,RD
Christian Dvorak,2570000,C,33,77878.79,0.000012840,C
Elias Lindholm,3820000,F,49,77959.18,0.000012827,RW
Ryan Strome,3120000,C,40,78000.00,0.000012821,C
Tanner Pearson,2730000,F,35,78000.00,0.000012821,LW
Josh Leivo,1170000,F,15,78000.00,0.000012821,RW
William Nylander,3360000,F,43,78139.53,0.000012798,RW
Andrew Copp,1720000,C,22,78181.82,0.000012791,C
Brad Marchand,4770000,F,61,78196.72,0.000012788,LW
Nikita Zadorov,1330000,D,17,78235.29,0.000012782,LD
Tyler Bozak,1800000,F,23,78260.87,0.000012778,C/RW
Kevin Hayes,2740000,C,35,78285.71,0.000012774,C
J.T. Compher,1880000,C,24,78333.33,0.000012766,C
Tyler Bertuzzi,2980000,F,38,78421.05,0.000012752,LW
Mike Hoffman,3530000,F,45,78444.44,0.000012748,LW
Anze Kopitar,3930000,C,50,78600.00,0.000012723,C
Sebastian Aho,4410000,C,56,78750.00,0.000012698,C
Tyler Johnson,1890000,F,24,78750.00,0.000012698,RW
Phil Kessel,2840000,F,36,78888.89,0.000012676,RW
Martin Frk,1030000,F,13,79230.77,0.000012621,RW
Jordan Eberle,2860000,F,36,79444.44,0.000012587,RW
Brandon Saad,2230000,F,28,79642.86,0.000012556,LW
Joe Pavelski,2470000,C,31,79677.42,0.000012551,C
Brad Hunt,1120000,D,14,80000.00,0.000012500,LD
Trevor Moore,1120000,F,14,80000.00,0.000012500,LW
Reilly Smith,3130000,F,39,80256.41,0.000012460,LW
Mark Scheifele,4180000,C,52,80384.62,0.000012440,C
Dominik Kubalik,3140000,F,39,80512.82,0.000012420,LW
Dmitry Orlov,1530000,D,19,80526.32,0.000012418,LD
Matthew Highmore,1050000,F,13,80769.23,0.000012381,RW
Evgeni Malkin,4610000,C,57,80877.19,0.000012364,C
Mark Giordano,2520000,D,31,81290.32,0.000012302,LD
Rasmus Ristolainen,2440000,D,30,81333.33,0.000012295,RD
Kevin Stenlund,1140000,C,14,81428.57,0.000012281,C
Carter Verhaeghe,1140000,F,14,81428.57,0.000012281,LW
Anthony Cirelli,2960000,C,36,82222.22,0.000012162,C
Jake DeBrusk,2550000,F,31,82258.06,0.000012157,LW
Nick Suzuki,2880000,C,35,82285.71,0.000012153,C
Alex Pietrangelo,2720000,D,33,82424.24,0.000012132,RD
Neal Pionk,2640000,D,32,82500.00,0.000012121,RD
Tyson Jost,1650000,F,20,82500.00,0.000012121,C/RW
Auston Matthews,4960000,C,60,82666.67,0.000012097,C
Mason Appleton,1080000,F,13,83076.92,0.000012037,RW
Claude Giroux,3990000,F,48,83125.00,0.000012030,C/LW
Oliver Kylington,1000000,D,12,83333.33,0.000012000,LD
Andrew Peeke,1000000,D,12,83333.33,0.000012000,RD
Matt Benning,1000000,D,12,83333.33,0.000012000,RD
Matt Luff,1000000,F,12,83333.33,0.000012000,RW
Nathan Bastian,1000000,F,12,83333.33,0.000012000,RW
Brett Seney,1000000,F,12,83333.33,0.000012000,LW
Sven Baertschi,1000000,F,12,83333.33,0.000012000,LW
Jordan Greenway,1920000,F,23,83478.26,0.000011979,LW
Matthew Tkachuk,4210000,F,50,84200.00,0.000011876,LW/RW
Brady Skjei,1860000,D,22,84545.45,0.000011828,LD
John Tavares,4570000,C,54,84629.63,0.000011816,C
Ryan Hartman,1610000,F,19,84736.84,0.000011801,RW
Alex Goligoski,1950000,D,23,84782.61,0.000011795,LD
Ben Hutton,1190000,D,14,85000.00,0.000011765,LD
Vincent Trocheck,2640000,C,31,85161.29,0.000011742,C
Robby Fabbri,2130000,F,25,85200.00,0.000011737,LW
Tomas Hertl,3580000,C,42,85238.10,0.000011732,C
Mikael Backlund,2900000,C,34,85294.12,0.000011724,C
David Perron,3500000,F,41,85365.85,0.000011714,RW
Zach Sanford,2220000,F,26,85384.62,0.000011712,LW
Brendan Gallagher,3160000,F,37,85405.41,0.000011709,RW
Evgenii Dadonov,3080000,F,36,85555.56,0.000011688,RW
Jordan Weal,1200000,F,14,85714.29,0.000011667,C/RW
Tyler Toffoli,3180000,F,37,85945.95,0.000011635,RW
Travis Hamonic,1120000,D,13,86153.85,0.000011607,RD
Nathan Gerbe,1120000,F,13,86153.85,0.000011607,RW
Michael Raffl,1300000,F,15,86666.67,0.000011538,LW
Filip Forsberg,3300000,F,38,86842.11,0.000011515,LW
Luke Kunin,2260000,F,26,86923.08,0.000011504,LW
Dylan Gambrell,1130000,F,13,86923.08,0.000011504,C/RW
Brayden Schenn,3740000,C,43,86976.74,0.000011497,C
Bryan Rust,3570000,F,41,87073.17,0.000011485,RW
Jake Virtanen,2700000,F,31,87096.77,0.000011481,RW
Tyler Ennis,2440000,F,28,87142.86,0.000011475,LW
Anton Stralman,1310000,D,15,87333.33,0.000011450,RD
Josh Manson,1050000,D,12,87500.00,0.000011429,RD
Nick Bonino,2200000,C,25,88000.00,0.000011364,C
Anthony Mantha,3610000,F,41,88048.78,0.000011357,RW
Patrik Laine,4240000,F,48,88333.33,0.000011321,RW
Paul Stastny,2670000,C,30,89000.00,0.000011236,C
Rickard Rakell,3030000,F,34,89117.65,0.000011221,LW
Roman Josi,4100000,D,46,89130.43,0.000011220,LD
Noah Gregor,1070000,F,12,89166.67,0.000011215,RW
Marcus Sorensen,1250000,F,14,89285.71,0.000011200,LW
Brenden Dillon,1340000,D,15,89333.33,0.000011194,LD
Oliver Ekman-Larsson,2600000,D,29,89655.17,0.000011154,LD
Justin Braun,1260000,D,14,90000.00,0.000011111,RD
Erik Gudbranson,1080000,D,12,90000.00,0.000011111,RD
Marco Scandella,1080000,D,12,90000.00,0.000011111,LD
Robert Hagg,1180000,D,13,90769.23,0.000011017,LD
Mario Ferraro,1090000,D,12,90833.33,0.000011009,LD
Victor Rask,1090000,C,12,90833.33,0.000011009,C
Radim Simek,1000000,D,11,90909.09,0.000011000,LD
Zach Bogosian,1000000,D,11,90909.09,0.000011000,RD
Jakob Silfverberg,2920000,F,32,91250.00,0.000010959,RW
Colton Parayko,2290000,D,25,91600.00,0.000010917,RD
Ryan Getzlaf,2750000,C,30,91666.67,0.000010909,C
David Kampf,1290000,C,14,92142.86,0.000010853,C
Leo Komarov,1290000,F,14,92142.86,0.000010853,RW
Michael Frolik,1200000,F,13,92307.69,0.000010833,RW
Lars Eller,2680000,C,29,92413.79,0.000010821,C
Bo Horvat,3790000,C,41,92439.02,0.000010818,C
T.J. Oshie,3330000,F,36,92500.00,0.000010811,RW
Olli Maatta,1480000,D,16,92500.00,0.000010811,LD
Jeff Skinner,2780000,F,30,92666.67,0.000010791,LW/RW
Travis Boyd,1020000,C,11,92727.27,0.000010784,C
Johan Larsson,1300000,C,14,92857.14,0.000010769,C
Zack Kassian,2340000,F,25,93600.00,0.000010684,RW
Jordan Oesterle,1030000,D,11,93636.36,0.000010680,LD
Alex Killorn,3010000,F,32,94062.50,0.000010631,LW
Michael Grabner,1130000,F,12,94166.67,0.000010619,RW
Connor Brown,2940000,F,31,94838.71,0.000010544,RW
Jonathan Marchessault,3710000,F,39,95128.21,0.000010512,RW
Alex Chiasson,1620000,F,17,95294.12,0.000010494,RW
Radek Faksa,1910000,C,20,95500.00,0.000010471,C
Nick Cousins,2010000,F,21,95714.29,0.000010448,LW
Jake McCabe,1150000,D,12,95833.33,0.000010435,LD
Alexander Edler,2400000,D,25,96000.00,0.000010417,LD
Craig Smith,2400000,F,25,96000.00,0.000010417,RW
Tyler Motte,1250000,F,13,96153.85,0.000010400,LW
Brandon Carlo,1540000,D,16,96250.00,0.000010390,RD
Jaden Schwartz,3370000,F,35,96285.71,0.000010386,LW
Carson Soucy,1060000,D,11,96363.64,0.000010377,LD
Kyle Palmieri,3280000,F,34,96470.59,0.000010366,RW
Miles Wood,2030000,F,21,96666.67,0.000010345,LW
Jason Dickinson,1740000,C,18,96666.67,0.000010345,C
Andy Greene,1160000,D,12,96666.67,0.000010345,LD
Timo Meier,4160000,F,43,96744.19,0.000010337,LW
Frank Vatrano,2710000,F,28,96785.71,0.000010332,LW
Lawson Crouse,2420000,F,25,96800.00,0.000010331,LW
Anders Lee,3390000,F,35,96857.14,0.000010324,LW
Shea Weber,2620000,D,27,97037.04,0.000010305,RD
Alex Ovechkin,5250000,F,54,97222.22,0.000010286,LW
Jonathan Toews,3310000,C,34,97352.94,0.000010272,C
Justin Faulk,1850000,D,19,97368.42,0.000010270,RD
Patrice Bergeron,4120000,C,42,98095.24,0.000010194,C
Justin Holl,1280000,D,13,98461.54,0.000010156,RD
Zach Parise,3070000,F,31,99032.26,0.000010098,LW
Adam Henrique,3170000,C,32,99062.50,0.000010095,C
Erik Johnson,1390000,D,14,99285.71,0.000010072,RD
Erik Cernak,1490000,D,15,99333.33,0.000010067,RD
Frans Nielsen,1200000,C,12,100000.00,0.000010000,C
Josh Mahura,1000000,D,10,100000.00,0.000010000,LD
Jeremy Lauzon,1000000,D,10,100000.00,0.000010000,LD
Calvin de Haan,1000000,D,10,100000.00,0.000010000,LD
Conor Timmins,1000000,D,10,100000.00,0.000010000,RD
Andrej Sekera,1000000,D,10,100000.00,0.000010000,LD
