name,cost,position,points,ppd,roi
Brayden Schenn,2650000,C,46,57609,0.000017358
Liam O'Brien,1000000,C,14,71429,0.000014000
Auston Matthews,4750000,C,107,44393,0.000022526
Seth Jarvis,3160000,C,67,47164,0.000021203
Marcus Johansson,1450000,F,30,48333,0.000020690
Brian Dumoulin,1000000,D,16,62500,0.000016000
Frank Vatrano,2520000,F,60,42000,0.000023810
Jared Spurgeon,1490000,D,5,298000,0.000003356
Kaedan Korczak,1110000,D,9,123333,0.000008108
Filip Chytil,1690000,C,6,281667,0.000003550
Pius Suter,1370000,C,29,47241,0.000021168
William Karlsson,2570000,C,60,42833,0.000023346
Zach Bogosian,1000000,D,14,71429,0.000014000
Tyler Tucker,1000000,D,2,500000,0.000002000
Shane Wright,1000000,C,5,200000,0.000005000
Quinton Byfield,2250000,F,55,40909,0.000024444
Tage Thompson,3410000,C,56,60893,0.000016422
Anthony Richard,1000000,F,3,333333,0.000003000
Nicholas Robertson,1440000,F,27,53333,0.000018750
Patrik Laine,2590000,F,9,287778,0.000003475
Artturi Lehkonen,2490000,F,34,73235,0.000013655
Josh Morrissey,3720000,D,69,53913,0.000018548
Alexander Holtz,1380000,F,28,49286,0.000020290
Adam Edstrom,1000000,F,2,500000,0.000002000
Brett Kulak,1000000,D,16,62500,0.000016000
Josh Anderson,1250000,F,20,62500,0.000016000
Craig Smith,1070000,C,20,53500,0.000018692
Robert Thomas,3760000,C,86,43721,0.000022872
Nicolas Hague,1000000,D,12,83333,0.000012000
Olli Maatta,1000000,D,18,55556,0.000018000
Ryan McLeod,1660000,C,30,55333,0.000018072
Matthew Poitras,1540000,C,15,102667,0.000009740
Jesse Puljujarvi,1000000,F,4,250000,0.000004000
Zach Whitecloud,1000000,D,14,71429,0.000014000
Casey Cizikas,1130000,C,23,49130,0.000020354
Daniil Miromanov,1220000,D,7,174286,0.000005738
Michael Rasmussen,1690000,F,33,51212,0.000019527
Sebastian Aho,4020000,C,9,446667,0.000002239
Connor Brown,1030000,F,12,85833,0.000011650
David Jiricek,1000000,D,10,100000,0.000010000
Samuel Fagemo,1000000,F,1,1000000,0.000001000
Oskar Sundqvist,1140000,F,21,54286,0.000018421
Anders Lee,1780000,F,37,48108,0.000020787
Daniel Sprong,2090000,F,43,48605,0.000020574
Ridly Greig,1550000,C,26,59615,0.000016774
Oliver Bjorkstrand,2500000,F,59,42373,0.000023600
Tyler Johnson,1480000,C,31,47742,0.000020946
Alexander Romanov,1270000,D,22,57727,0.000017323
Alex Pietrangelo,2380000,D,33,72121,0.000013866
Sean Kuraly,1040000,C,18,57778,0.000017308
Caleb Jones,1000000,D,5,200000,0.000005000
Kyle MacLean,1020000,F,9,113333,0.000008824
Logan Stanley,1000000,D,2,500000,0.000002000
Travis Boyd,1000000,C,8,125000,0.000008000
Rasmus Dahlin,3670000,D,59,62203,0.000016076
Connor McMichael,1890000,C,33,57273,0.000017460
Chandler Stephenson,2550000,C,51,50000,0.000020000
Leon Draisaitl,4890000,F,106,46132,0.000021677
Steven Stamkos,3450000,C,81,42593,0.000023478
Calen Addison,1000000,D,17,58824,0.000017000
Anton Lundell,1610000,C,35,46000,0.000021739
Ben Chiarot,1120000,D,20,56000,0.000017857
Carter Verhaeghe,3560000,F,72,49444,0.000020225
Erik Gustafsson,1710000,D,31,55161,0.000018129
Quinn Hughes,4170000,D,92,45326,0.000022062
K'Andre Miller,2080000,D,30,69333,0.000014423
Zach Werenski,3160000,D,57,55439,0.000018038
Calle Jarnkrok,1600000,C,21,76190,0.000013125
Dylan DeMelo,1540000,D,31,49677,0.000020130
Shayne Gostisbehere,2590000,D,56,46250,0.000021622
Alex Ovechkin,3550000,F,65,54615,0.000018310
Ryan Hartman,2060000,C,45,45778,0.000021845
Jake Sanderson,2250000,D,38,59211,0.000016889
Connor Clifton,1090000,D,18,60556,0.000016514
Alexander Alexeyev,1000000,D,3,333333,0.000003000
Brandon Hagel,3250000,F,75,43333,0.000023077
Marcus Pettersson,1520000,D,30,50667,0.000019737
Darnell Nurse,1830000,D,32,57188,0.000017486
Elias Lindholm,2830000,C,44,64318,0.000015548
Joel Eriksson Ek,2950000,C,64,46094,0.000021695
Brenden Dillon,1020000,D,20,51000,0.000019608
Ryan Lindgren,1000000,D,17,58824,0.000017000
Sebastian Aho,4020000,C,89,45169,0.000022139
Tomas Tatar,1190000,F,24,49583,0.000020168
